NDR 0.44, RR 0.00, RA 0.27, AA 0.71
NDR 0.22, RR 0.00, RA 0.13, AA 0.34
NDR 0.38, RR 0.00, RA 0.42, AA 0.33
NDR 0.28, RR 0.00, RA 0.29, AA 0.26
NDR 0.36, RR 0.00, RA 0.41, AA 0.29
NDR 1.40, RR 0.00, RA 2.11, AA 0.54
NDR 0.73, RR 0.00, RA 0.55, AA 1.01
NDR 0.29, RR 0.00, RA 0.15, AA 0.47
NDR 0.67, RR 0.00, RA 0.66, AA 0.68
NDR 0.34, RR 0.00, RA 0.41, AA 0.25
NDR 0.31, RR 0.00, RA 0.19, AA 0.46
NDR 0.32, RR 0.00, RA 0.35, AA 0.29
NDR 0.28, RR 0.00, RA 0.14, AA 0.47
NDR 0.31, RR 0.00, RA 0.36, AA 0.25
NDR 0.37, RR 0.00, RA 0.44, AA 0.28
NDR 0.27, RR 0.00, RA 0.24, AA 0.30
NDR 0.64, RR 0.00, RA 0.93, AA 0.33
NDR 0.29, RR 0.00, RA 0.23, AA 0.37
NDR 0.32, RR 0.00, RA 0.28, AA 0.37
NDR 0.83, RR 0.00, RA 0.62, AA 1.12
NDR 0.29, RR 0.00, RA 0.18, AA 0.46
NDR 0.23, RR 0.00, RA 0.16, AA 0.32
NDR 0.21, RR 0.00, RA 0.17, AA 0.28
NDR 0.25, RR 0.00, RA 0.23, AA 0.28
NDR 0.30, RR 0.00, RA 0.29, AA 0.30
NDR 0.20, RR 0.00, RA 0.13, AA 0.30
NDR 0.29, RR 0.00, RA 0.26, AA 0.32
NDR 0.45, RR 0.00, RA 0.31, AA 0.66
NDR 1.38, RR 0.00, RA 1.95, AA 0.51
NDR 0.28, RR 0.00, RA 0.23, AA 0.35
NDR 0.30, RR 0.00, RA 0.31, AA 0.30
NDR 0.24, RR 0.00, RA 0.20, AA 0.30
NDR 0.35, RR 0.00, RA 0.37, AA 0.31
NDR 0.51, RR 0.00, RA 0.62, AA 0.36
NDR 1.52, RR 0.00, RA 1.46, AA 1.59
NDR 0.21, RR 0.00, RA 0.14, AA 0.30
NDR 0.77, RR 0.00, RA 1.04, AA 0.37
NDR 0.22, RR 0.00, RA 0.21, AA 0.25
NDR 0.26, RR 0.00, RA 0.17, AA 0.37
NDR 0.21, RR 0.00, RA 0.12, AA 0.35
NDR 0.32, RR 0.00, RA 0.30, AA 0.34
NDR 0.30, RR 0.00, RA 0.28, AA 0.33
NDR 0.26, RR 0.00, RA 0.27, AA 0.24
NDR 1.44, RR 0.00, RA 1.52, AA 1.31
NDR 0.21, RR 0.00, RA 0.12, AA 0.34
NDR 0.45, RR 0.00, RA 0.56, AA 0.31
NDR 0.45, RR 0.00, RA 0.17, AA 0.87
NDR 0.38, RR 0.00, RA 0.36, AA 0.40
NDR 0.47, RR 0.00, RA 0.49, AA 0.45
NDR 0.33, RR 0.00, RA 0.25, AA 0.44
NDR 0.31, RR 0.00, RA 0.18, AA 0.48
NDR 0.20, RR 0.00, RA 0.14, AA 0.30
NDR 0.22, RR 0.00, RA 0.12, AA 0.36
NDR 0.29, RR 0.00, RA 0.23, AA 0.38
NDR 1.46, RR 0.00, RA 1.72, AA 1.06
NDR 0.71, RR 0.00, RA 0.95, AA 0.36
NDR 0.24, RR 0.00, RA 0.23, AA 0.25
NDR 0.39, RR 0.00, RA 0.23, AA 0.67
NDR 0.26, RR 0.00, RA 0.25, AA 0.26
NDR 0.21, RR 0.00, RA 0.18, AA 0.26
NDR 0.24, RR 0.00, RA 0.19, AA 0.30
NDR 0.30, RR 0.00, RA 0.27, AA 0.33
NDR 0.34, RR 0.00, RA 0.37, AA 0.31
NDR 0.99, RR 0.00, RA 1.13, AA 0.80
NDR 0.34, RR 0.00, RA 0.24, AA 0.49
NDR 0.30, RR 0.00, RA 0.28, AA 0.33
NDR 0.21, RR 0.00, RA 0.11, AA 0.34
NDR 0.26, RR 0.00, RA 0.16, AA 0.39
NDR 0.47, RR 0.00, RA 0.36, AA 0.63
NDR 0.37, RR 0.00, RA 0.42, AA 0.32
NDR 0.28, RR 0.00, RA 0.24, AA 0.34
NDR 0.53, RR 0.00, RA 0.69, AA 0.31
NDR 1.34, RR 0.00, RA 1.31, AA 1.38
NDR 0.26, RR 0.00, RA 0.20, AA 0.33
NDR 0.45, RR 0.00, RA 0.19, AA 0.83
NDR 0.36, RR 0.00, RA 0.41, AA 0.28
NDR 0.93, RR 0.00, RA 1.30, AA 0.40
NDR 0.28, RR 0.00, RA 0.23, AA 0.36
NDR 0.35, RR 0.00, RA 0.39, AA 0.29
NDR 0.28, RR 0.00, RA 0.24, AA 0.33
NDR 0.29, RR 0.00, RA 0.28, AA 0.31
NDR 0.31, RR 0.00, RA 0.25, AA 0.40
NDR 0.49, RR 0.00, RA 0.52, AA 0.44
NDR 0.27, RR 0.00, RA 0.28, AA 0.25
NDR 0.55, RR 0.00, RA 0.40, AA 0.76
NDR 0.30, RR 0.00, RA 0.32, AA 0.27
NDR 0.79, RR 0.00, RA 1.10, AA 0.36
NDR 0.58, RR 0.00, RA 0.59, AA 0.56
NDR 0.29, RR 0.00, RA 0.16, AA 0.46
NDR 0.25, RR 0.00, RA 0.25, AA 0.26
NDR 0.32, RR 0.00, RA 0.30, AA 0.35
NDR 0.27, RR 0.00, RA 0.16, AA 0.41
NDR 0.56, RR 0.00, RA 0.62, AA 0.49
NDR 0.35, RR 0.00, RA 0.37, AA 0.32
NDR 0.61, RR 0.00, RA 0.79, AA 0.35
NDR 0.35, RR 0.00, RA 0.21, AA 0.54
NDR 0.67, RR 0.00, RA 0.87, AA 0.39
NDR 0.30, RR 0.00, RA 0.28, AA 0.32
NDR 0.34, RR 0.00, RA 0.38, AA 0.27
NDR 0.40, RR 0.00, RA 0.47, AA 0.31
NDR 0.33, RR 0.00, RA 0.31, AA 0.36
NDR 0.36, RR 0.00, RA 0.42, AA 0.29
NDR 0.30, RR 0.00, RA 0.22, AA 0.42
NDR 0.25, RR 0.00, RA 0.20, AA 0.32
NDR 0.26, RR 0.00, RA 0.24, AA 0.29
NDR 0.31, RR 0.00, RA 0.19, AA 0.47
NDR 0.20, RR 0.00, RA 0.14, AA 0.29
NDR 0.65, RR 0.00, RA 0.87, AA 0.34
NDR 0.41, RR 0.00, RA 0.49, AA 0.30
NDR 0.30, RR 0.00, RA 0.29, AA 0.32
NDR 0.32, RR 0.00, RA 0.31, AA 0.34
NDR 0.41, RR 0.00, RA 0.47, AA 0.34
NDR 0.24, RR 0.00, RA 0.24, AA 0.25
NDR 0.30, RR 0.00, RA 0.32, AA 0.27
NDR 0.20, RR 0.00, RA 0.12, AA 0.30
NDR 0.28, RR 0.00, RA 0.24, AA 0.33
NDR 0.43, RR 0.00, RA 0.35, AA 0.53
NDR 0.51, RR 0.00, RA 0.63, AA 0.34
NDR 0.31, RR 0.00, RA 0.33, AA 0.28
NDR 0.62, RR 0.00, RA 0.47, AA 0.86
NDR 0.48, RR 0.00, RA 0.56, AA 0.35
NDR 0.37, RR 0.00, RA 0.45, AA 0.27
NDR 0.26, RR 0.00, RA 0.25, AA 0.28
NDR 0.79, RR 0.00, RA 0.83, AA 0.73
NDR 0.33, RR 0.00, RA 0.27, AA 0.42
NDR 0.57, RR 0.00, RA 0.24, AA 1.00
NDR 0.42, RR 0.00, RA 0.51, AA 0.28
NDR 0.41, RR 0.00, RA 0.46, AA 0.33
NDR 0.35, RR 0.00, RA 0.30, AA 0.43
NDR 0.30, RR 0.00, RA 0.34, AA 0.26
NDR 0.47, RR 0.00, RA 0.57, AA 0.32
NDR 1.04, RR 0.00, RA 0.86, AA 1.36
NDR 0.33, RR 0.00, RA 0.35, AA 0.31
NDR 0.43, RR 0.00, RA 0.42, AA 0.45
NDR 0.28, RR 0.00, RA 0.29, AA 0.27
NDR 0.30, RR 0.00, RA 0.33, AA 0.25
NDR 1.54, RR 0.00, RA 1.50, AA 1.61
NDR 1.51, RR 0.00, RA 1.28, AA 1.82
NDR 0.88, RR 0.00, RA 1.21, AA 0.42
NDR 0.29, RR 0.00, RA 0.31, AA 0.27
NDR 0.25, RR 0.00, RA 0.22, AA 0.28
NDR 0.97, RR 0.00, RA 1.39, AA 0.35
NDR 0.45, RR 0.00, RA 0.30, AA 0.67
